Nombre,Activo,Código,Eslora,Flota,Matrícula,Potencia en HP,Tipo de flota
CORAJE,Yes,1359,"28,28","ALTURA, FRESQUERO",5653,"425,5",31
NDDANDDU,Yes,2082,"28,2","ALTURA, PROC.CONGELADOR",5956,"856,4",32
DON JUAN II,Yes,1439,"7,8","FRESQUERO, RADA O RIA",01911M,60,11
EL MATI,Yes,1518,"6,28","FRESQUERO, RADA O RIA",1537-M,60,11
SABELO,Yes,0,0,"FRESQUERO, RADA O RIA",02513M,0,11
FEYNIMA,Yes,0,0,"FRESQUERO, RADA O RIA",02442M,0,11
NUEVA STELLA MARIS,Yes,0,"6,38","COSTEROS, FRESQUERO",1801-M,0,21
ALEXANDER,Yes,1041,"6,23","COSTEROS, FRESQUERO",1893-M,0,21
ADRIANA,Yes,1019,"8,35","FRESQUERO, RADA O RIA",01498QU,40,11
EL CAPO,Yes,0,0,"FRESQUERO, RADA O RIA",02675M,0,11
GUILLERMO G,Yes,0,0,"FRESQUERO, RADA O RIA",02961,0,11
GIANLUCA G,Yes,0,0,"FRESQUERO, RADA O RIA",02920,0,11
DON PACO,Yes,0,"9,89","FRESQUERO, RADA O RIA",01640M,"198,7",11
DON TORIBIO,Yes,0,0,"COSTEROS, FRESQUERO",02913,0,21
SIEMPRE AGUSTINA,Yes,0,0,"FRESQUERO, RADA O RIA",02928,0,11
tt,Yes,0,"16,92","FRESQUERO, RADA O RIA",02614,"436,2",11
MARIA ELENA,Yes,0,"9,86","FRESQUERO, RADA O RIA",02571,"355,7",11
MICAELA R,Yes,0,0,"FRESQUERO, RADA O RIA",02918,0,11
CLAUDIO,Yes,0,"9,9","FRESQUERO, RADA O RIA",02578,"330,2",11
JULIANA S,Yes,0,0,"FRESQUERO, RADA O RIA",02985,0,11
NEREA,Yes,0,"9,9","FRESQUERO, RADA O RIA",02579,0,11
NESTOR V,Yes,0,0,"FRESQUERO, RADA O RIA",03064,0,11
NATANAEL I,Yes,0,0,"FRESQUERO, RADA O RIA",02956,0,11
DESAFIO,Yes,1398,"29,56","ALTURA, FRESQUERO",6125,"849,7",31
LANZA SECA,Yes,1852,"24,8","ALTURA, FRESQUERO",5424,"514,1",31
SAN MATIAS.,Yes,0,"34,1","ALTURA, FRESQUERO",5226,"775,8",31
DON ANTONIO,Yes,1411,"27,8","ALTURA, FRESQUERO",5878,549,31
LUCIA LUISA,Yes,1897,"27,9","ALTURA, FRESQUERO",5764,"463,1",31
MAR SUR,Yes,1957,"36,4","ALTURA, PROC.CONGELADOR",5965,"888,6",32
ANAFE,Yes,0,0,"FRESQUERO, RADA O RIA",02145,0,11
REMIX,Yes,0,"6,38","FRESQUERO, RADA O RIA",0597-M,50,11
ESTRELLA DEL MAR.,Yes,1572,"8,05","COSTEROS, FRESQUERO",1945-M,0,21
LOS HERMANOS,Yes,1886,"6,38","FRESQUERO, RADA O RIA",1677,0,11
STELLA MARIS (02833M),Yes,0,0,"FRESQUERO, RADA O RIA",02833M,0,11
ASI SOY,Yes,0,6,"FRESQUERO, RADA O RIA",1367-M,40,11
EL QUILMEÑO,Yes,0,6,"FRESQUERO, RADA O RIA",0647-M,40,11
QUILMEÑO I,Yes,0,6,"FRESQUERO, RADA O RIA",01961M,40,11
CAMERIGE,Yes,1252,"27,9","ALTURA, FRESQUERO",5863,"652,3",31
LA NUEVA FURTIVA,Yes,0,0,"FRESQUERO, RADA O RIA",02958M,0,11
LA AMISTAD,Yes,1792,0,"COSTEROS, FRESQUERO",1665-M,0,21
MARIA DEL CARMEN (01808M),Yes,0,0,"FRESQUERO, RADA O RIA",1808M,0,11
LA NUEVA ADRIANA,Yes,1826,8,"FRESQUERO, RADA O RIA",01298-M,100,11
DOÑA MARIA (02760M),Yes,1486,0,"FRESQUERO, RADA O RIA",02760M,0,11
REMIX IV,Yes,2292,"6,38","FRESQUERO, RADA O RIA",1209-M,40,11
MISS PATAGONIA,Yes,2055,"28,2","ALTURA, PROC.CONGELADOR",5972,"667,1",32
CAPITAN GIACHINO,Yes,1260,"38,42","ALTURA, PROC.CONGELADOR",5703,"1061,7",32
HUAFENG 818,Yes,0,"24,88","ALTURA, FRESQUERO",5706,"425,5",31
HUAFENG 821,Yes,2766,"24,85","ALTURA, FRESQUERO",5771,494,31
CIUDAD DE HUELVA,Yes,1324,"27,45","ALTURA, FRESQUERO",5861,"425,5",31
ROSARIO G,Yes,2326,"26,74","ALTURA, PROC.CONGELADOR",5871,"425,5",32
FELIX AUGUSTO,Yes,1595,"27,8","ALTURA, PROC.CONGELADOR",5846,"601,3",32
LA MARTINA,Yes,0,0,"FRESQUERO, RADA O RIA",02463M,0,11
TABEIRON,Yes,2529,"34,15","ALTURA, PROC.CONGELADOR",02233,"888,6",32
EMPESUR V,Yes,2705,"30,52","ALTURA, PROC.CONGELADOR",02650,"1369,1",32
ROCIO DEL MAR,Yes,2313,"22,6","ALTURA, FRESQUERO",6089,"540,9",31
EMPESUR VII,Yes,2754,"35,03","ALTURA, PROC.CONGELADOR",03045,"1289,9",32
MAR CORAL,Yes,2768,"35,53","ALTURA, PROC.CONGELADOR",03118,0,32
ARBUMASA X,Yes,1114,"35,3","ALTURA, PROC.CONGELADOR",6183,"1087,2",32
ARBUMASA XV,Yes,1118,"36,4","ALTURA, PROC.CONGELADOR",6239,"869,8",32
ARBUMASA XIX,Yes,1117,"36,4","ALTURA, PROC.CONGELADOR",6440,"869,8",32
ARGENOVA IV,Yes,1140,"36,26","ALTURA, PROC.CONGELADOR",02157,"675,2",32
ARGENOVA IX,Yes,1141,"32,5","ALTURA, PROC.CONGELADOR",02328,"550,3",32
ARGENOVA X,Yes,1146,"32,5","ALTURA, PROC.CONGELADOR",02329,"550,3",32
ARBUMASA I,Yes,1112,"35,3","ALTURA, PROC.CONGELADOR",6094,"1001,3",32
ARBUMASA XVII,Yes,1120,"36,4","ALTURA, PROC.CONGELADOR",6367,"869,8",32
ENTRENA UNO,Yes,1551,"33,1","ALTURA, PROC.CONGELADOR",02069,"838,9",32
BOUCIÑA,Yes,1221,0,"ALTURA, PROC.CONGELADOR",,0,32
API X,Yes,2769,"36,39","ALTURA, PROC.CONGELADOR",03191,"1877,4",21
NINA,Yes,2770,44,"ALTURA, PROC.CONGELADOR",03171,1620,32
ESPARDEL,Yes,2773,"28,7","ALTURA, FRESQUERO",,1341,31
ARESIT,Yes,1134,"36,26","ALTURA, PROC.CONGELADOR",,1085,32
ALVAREZ ENTRENA VI,Yes,2774,"30,5","ALTURA, PROC.CONGELADOR",,1033,32
NIÑO JESUS DE PRAGA,Yes,2775,"27,74","ALTURA, FRESQUERO",03194,1180,31
FEDERICO C,Yes,2776,"37,68","ALTURA, PROC.CONGELADOR",,1400,32
API VIII,Yes,2778,"36,39","ALTURA, PROC.CONGELADOR",,"1877,4",32
API XII,Yes,2782,"43,4","ALTURA, PROC.CONGELADOR",,"1877,4",32
ALAVAREZ ENTRENA III,Yes,2783,"31,9","ALTURA, PROC.CONGELADOR",,"700,7",32
JUAN ALVAREZ,Yes,1755,"36,6","ALTURA, PROC.CONGELADOR",6192,"1167,8",32
,No,,,,,,
