Nombre,Activo,Código,Eslora,Flota,Matrícula,Potencia en HP,Tipo de flota
ECHIZEN MARU,Yes,1495,"89,59","ALTURA, PROC.CONGELADOR",6488,4702,32
SAN MATEO,Yes,0,"54,1","ALTURA, PROC.CONGELADOR",6306,"1233,6",32
HUYU 908,Yes,2758,72,"ALTURA, PROC.CONGELADOR",03058,0,32
XIN SHI JI 28,Yes,0,"70,5","ALTURA, PROC.CONGELADOR",03146,0,32
HUYU 907,Yes,2748,"72,17","ALTURA, PROC.CONGELADOR",03027,"1677,9",32
ESTHER 153,Yes,1568,"55,1","ALTURA, PROC.CONGELADOR",02058,"1252,3",32
NAVEGANTES II,Yes,2080,"63,7","ALTURA, PROC.CONGELADOR",1451,"1602,7",32
VALERIA DEL ATLÁNTICO,Yes,2346,"56,46","ALTURA, PROC.CONGELADOR",02098,4698,32
CHOKYU MARU Nº 18.,Yes,1312,"68,7","ALTURA, PROC.CONGELADOR",02584,"1777,2",32
LUNA SEKA II,Yes,0,"6,7","FRESQUERO, RADA O RIA",02059M,0,11
BERRETIN II,Yes,0,"12,25","FRESQUERO, RADA O RIA",02393,0,11
MOBY DICK,Yes,2059,"6,2","COSTEROS, FRESQUERO",0649-M,65,21
ESAMAR Nº 4,Yes,1557,"54,8","ALTURA, PROC.CONGELADOR",6169,1502,32
ALTALENA,Yes,1051,"55,8","ALTURA, FRESQUERO",5139,"1350,3",31
DON FRANCISCO I,Yes,1428,"66,55","ALTURA, PROC.CONGELADOR",02562,"1775,8",32
HUAFENG 822,Yes,0,25,"ALTURA, FRESQUERO",5323,"527,5",31
VENTARRON 1º,Yes,2708,"63,07","ALTURA, PROC.CONGELADOR",6041,"1969,1",32
NAVEGANTES III,Yes,2081,"68,6","ALTURA, PROC.CONGELADOR",02065,"2202,7",32
CAPESANTE,Yes,2723,"50,15","ALTURA, PROC.CONGELADOR",02929,"2550,3",32
SAN JUAN B,Yes,2780,"39,94","ALTURA, PROC.CONGELADOR",6068,1204,32
LAIA,Yes,0,53,"ALTURA, PROC.CONGELADOR",6521,"1185,2",32
MATEO I,Yes,2028,"67,97","ALTURA, PROC.CONGELADOR",02172,"1775,8",32
IGLU I,Yes,1713,"32,75","ALTURA, FRESQUERO",5714,"660,4",31
MARBELLA,Yes,1966,"27,38","ALTURA, FRESQUERO",6399,"735,6",31
PADRINO,Yes,0,0,"COSTEROS, FRESQUERO",03139,0,21
NUEVO QUEQUEN,Yes,0,"20,95","COSTEROS, FRESQUERO",03152,0,21
NAVEGANTES,Yes,2079,58,"ALTURA, PROC.CONGELADOR",6246,"1924,8",32
NANINA,Yes,2073,"72,08","ALTURA, PROC.CONGELADOR",02576,"1677,9",32
XIN SHI JI 30,Yes,0,"70,5","ALTURA, PROC.CONGELADOR",03145,0,32
JUPITER II,Yes,1769,"27,9","ALTURA, FRESQUERO",6597,"790,6",31
ORION 5,Yes,2757,"65,62","ALTURA, PROC.CONGELADOR",02637,"1775,8",32
TAI AN,Yes,2533,"100,5","ALTURA, PROC.CONGELADOR",01530,4506,32
ATLANTIC SURF III,Yes,1176,"49,6","ALTURA, PROC.CONGELADOR",02030,"3020,1",32
DON FEDE I,Yes,0,0,"FRESQUERO, RADA O RIA",03076,0,11
BARRUMBA,Yes,0,0,"FRESQUERO, RADA O RIA",02827M,0,11
TANGO II,Yes,2714,"50,4","ALTURA, PROC.CONGELADOR",02791,1302,32
DUKAT,Yes,2712,"50,8","ALTURA, PROC.CONGELADOR",02775,1302,32
CENTURION DEL ATLANTICO,Yes,1280,"112,8","ALTURA, PROC.CONGELADOR",6230,"8111,4",32
SAN JUAN JOSE,Yes,2372,"13,03","FRESQUERO, RADA O RIA",17903,"128,9",11
DON LUIS I,Yes,1445,"67,95","ALTURA, PROC.CONGELADOR",02093,"1802,7",32
GEMINIS,Yes,1643,"68,9","ALTURA, PROC.CONGELADOR",6569,"2140,9",32
CAROLINA P,Yes,1272,"71,6","ALTURA, PROC.CONGELADOR",6454,"1975,8",32
ANABELLA M,Yes,1074,"64,8","ALTURA, PROC.CONGELADOR",6455,"2420,1",32
BEAGLE I,Yes,1207,"59,9","ALTURA, PROC.CONGELADOR",6052,"2369,1",32
ORION 2,Yes,2169,"53,25","ALTURA, PROC.CONGELADOR",01942,"1201,3",32
INDOMITO,Yes,1723,"15,86","FRESQUERO, RADA O RIA",3645,"218,8",11
LUCA MARIO,Yes,2715,"79,14","ALTURA, PROC.CONGELADOR",6571,"3951,7",32
TALISMAN,Yes,2541,"49,95","ALTURA, PROC.CONGELADOR",6327,1302,32
GAUCHO GRANDE,Yes,1642,"27,64","ALTURA, FRESQUERO",5441,0,31
VERDEL,Yes,2604,"71,7","ALTURA, PROC.CONGELADOR",6593,1975,32
API VII,Yes,2777,"72,2","ALTURA, PROC.CONGELADOR",03081,0,32
DON LITO,Yes,0,"6,7","FRESQUERO, RADA O RIA",01990,0,11
VIRGEN DE LUJÁN  (02987M),Yes,2636,0,"FRESQUERO, RADA O RIA",02987M,0,11
MATIAS,Yes,0,0,"FRESQUERO, RADA O RIA",02149M,0,11
API V,Yes,2711,"77,4","ALTURA, PROC.CONGELADOR",02781,"2959,7",32
