BUQUECOD;BUQUE;TIPO_FLTA;FLOTA;ESLORA;POTHP;MATBUQ
2741;HUAFENG 801;32;ALTURA,PROC.CONGELADOR;65,04;1973,2;03013
1553;ERIN BRUCE;32;ALTURA,PROC.CONGELADOR;53,60;2252,3;6536
2199;PATAGONIA BLUES;32;ALTURA,PROC.CONGELADOR;64,45;1775,8;02176
2750;XIN SHI JI N║ 89;32;ALTURA,PROC.CONGELADOR;68,58;2684,6;02903
0;ZHOU YU 9;32;ALTURA,PROC.CONGELADOR;61,14;0,0;03113
2732;XIN SHI JI N║ 95;32;ALTURA,PROC.CONGELADOR;68,58;2684,6;02933
2615;VIEIRASA DIECIOCHO;32;ALTURA,PROC.CONGELADOR;67,78;1802,7;02563
2747;HUYU 906;32;ALTURA,PROC.CONGELADOR;65,92;1578,5;03026
0;HUYU 962;32;ALTURA,PROC.CONGELADOR;65,60;0,0;03056
2148;N║ 606 TAE BAEK;32;ALTURA,PROC.CONGELADOR;55,22;1036,2;02361
2046;MILLENNIUM;32;ALTURA,PROC.CONGELADOR;55,05;1328,9;6360
2629;VILLARINO;32;ALTURA,PROC.CONGELADOR;64,50;1775,8;02178
2050;MINTA;32;ALTURA,PROC.CONGELADOR;65,10;1602,7;02196
2611;VICTORIA II;31;ALTURA, FRESQUERO;27,40;601,3;5892
2751;HUAFENG 802;32;ALTURA,PROC.CONGELADOR;65,04;1973,2;03014
0;LU QING YUAN YU 280;32;ALTURA,PROC.CONGELADOR;67,68;0,0;03141
1127;ARBUMASA XXVI;32;ALTURA,PROC.CONGELADOR;62,80;2402,7;01958
2742;XIN SHI JI N║ 92;32;ALTURA,PROC.CONGELADOR;68,58;2684,6;02930
2669;XIN SHI DAI N░ 28;32;ALTURA,PROC.CONGELADOR;62,40;1578,5;02165
1446;DON MARIO;11;RADA O RIA, FRESQUERO;16,50;288,6;6210
2724;XIN SHI JI N║ 91;32;ALTURA,PROC.CONGELADOR;68,58;2684,6;02924
2762;LU QING YUAN YU 288;32;ALTURA,PROC.CONGELADOR;67,68;0,0;03142
2266;PUENTE VALDES;32;ALTURA,PROC.CONGELADOR;58,15;1382,6;02205
0;HUYU 961;32;ALTURA,PROC.CONGELADOR;65,70;0,0;03057
1651;GLORIA DEL MAR I;32;ALTURA,PROC.CONGELADOR;54,30;1600,0;01983
1126;ARBUMASA XXIX;32;ALTURA,PROC.CONGELADOR;65,60;1775,8;02561
2054;MISHIMA MARU N░8;32;ALTURA,PROC.CONGELADOR;63,43;1578,5;02175
1183;AURORA;32;ALTURA,PROC.CONGELADOR;67,55;1775,8;02581
0;ZHOU YU 10;32;ALTURA,PROC.CONGELADOR;61,14;0,0;03112
1559;ESPERANZA 909;32;ALTURA,PROC.CONGELADOR;72,34;1677,9;02577
1410;DON ALEJO;11;RADA O RIA, FRESQUERO;6,70;60,0;1713-M
0;SIEMPRE LA GALLEGA;11;RADA O RIA, FRESQUERO;0,00;0,0;02797M
2056;MISS TIDE;32;ALTURA,PROC.CONGELADOR;52,52;2253,7;02439
1704;HUA I N░616;32;ALTURA,PROC.CONGELADOR;59,80;1873,8;6301
0;XIN SHI JI 29;32;ALTURA,PROC.CONGELADOR;70,50;0,0;03147
