BUQUECOD;BUQUE;TIPO_FLTA;FLOTA;ESLORA;POTHP;MATBUQ
2272;PUNTA MOGOTES;21;COSTEROS, FRESQUERO;20,20;386,6;4975
2476;SIEMPRE SANTA ROSA;31;ALTURA, FRESQUERO;27,80;547,7;5879
2038;MESSINA I;31;ALTURA, FRESQUERO;27,29;649,7;5899
0;RAFA I;11;RADA O RIA, FRESQUERO;0,00;0,0;02404M
2099;NO TE APICHONES;11;RADA O RIA, FRESQUERO;8,20;130,0;01709
0;LA PAULINA II;11;RADA O RIA, FRESQUERO;0,00;0,0;03059
0;THE BROTHER;11;RADA O RIA, FRESQUERO;0,00;0,0;02445M
1793;LA ATREVIDA;21;COSTEROS, FRESQUERO;5,95;70,0;1879-M
1796;LA BRUJA;21;COSTEROS, FRESQUERO;6,38;60,0;1840-M
0;PAJARO;11;RADA O RIA, FRESQUERO;0,00;0,0;01973M
1437;DON JUAN;21;COSTEROS, FRESQUERO;27,00;425,0;18375
0;TOBI I;11;RADA O RIA, FRESQUERO;0,00;0,0;02636M
2012;MARINA I;11;RADA O RIA, FRESQUERO;7,80;130,0;01898M
1442;DON LOPEZ;11;RADA O RIA, FRESQUERO;6,38;0,0;01770M
1022;AGUSTIN.;11;RADA O RIA, FRESQUERO;0,00;0,0;01964M
2039;MI LUCHA;11;RADA O RIA, FRESQUERO;14,10;200,0;4588
1359;CORAJE;31;ALTURA, FRESQUERO;28,28;425,5;5653
2082;NDDANDDU;32;ALTURA,PROC.CONGELADOR;28,20;856,4;5956
1439;DON JUAN II;11;RADA O RIA, FRESQUERO;7,80;60,0;01911M
1518;EL MATI;11;RADA O RIA, FRESQUERO;6,28;60,0;1537-M
0;SABELO;11;RADA O RIA, FRESQUERO;0,00;0,0;02513M
0;FEYNIMA;11;RADA O RIA, FRESQUERO;0,00;0,0;02442M
0;NUEVA STELLA MARIS;21;COSTEROS, FRESQUERO;6,38;0,0;1801-M
1041;ALEXANDER;21;COSTEROS, FRESQUERO;6,23;0,0;1893-M
1019;ADRIANA;11;RADA O RIA, FRESQUERO;8,35;40,0;01498QU
0;EL CAPO;11;RADA O RIA, FRESQUERO;0,00;0,0;02675M
0;GUILLERMO G;11;RADA O RIA, FRESQUERO;0,00;0,0;02961
0;GIANLUCA G;11;RADA O RIA, FRESQUERO;0,00;0,0;02920
0;DON PACO;11;RADA O RIA, FRESQUERO;9,89;198,7;01640M
0;DON TORIBIO;21;COSTEROS, FRESQUERO;0,00;0,0;02913
0;SIEMPRE AGUSTINA;11;RADA O RIA, FRESQUERO;0,00;0,0;02928
0;tt;11;RADA O RIA, FRESQUERO;16,92;436,2;02614
0;MARIA ELENA;11;RADA O RIA, FRESQUERO;9,86;355,7;02571
0;MICAELA R;11;RADA O RIA, FRESQUERO;0,00;0,0;02918
0;CLAUDIO;11;RADA O RIA, FRESQUERO;9,90;330,2;02578
0;JULIANA S;11;RADA O RIA, FRESQUERO;0,00;0,0;02985
0;NEREA;11;RADA O RIA, FRESQUERO;9,90;0,0;02579
0;NESTOR V;11;RADA O RIA, FRESQUERO;0,00;0,0;03064
0;NATANAEL I;11;RADA O RIA, FRESQUERO;0,00;0,0;02956
1398;DESAFIO;31;ALTURA, FRESQUERO;29,56;849,7;6125
1852;LANZA SECA;31;ALTURA, FRESQUERO;24,80;514,1;5424
0;SAN MATIAS.;31;ALTURA, FRESQUERO;34,10;775,8;5226
1411;DON ANTONIO;31;ALTURA, FRESQUERO;27,80;549,0;5878
1897;LUCIA LUISA;31;ALTURA, FRESQUERO;27,90;463,1;5764
1957;MAR SUR;32;ALTURA,PROC.CONGELADOR;36,40;888,6;5965
0;ANAFE;11;RADA O RIA, FRESQUERO;0,00;0,0;02145
0;REMIX;11;RADA O RIA, FRESQUERO;6,38;50,0;0597-M
1572;ESTRELLA DEL MAR.;21;COSTEROS, FRESQUERO;8,05;0,0;1945-M
1886;LOS HERMANOS;11;RADA O RIA, FRESQUERO;6,38;0,0;1677
0;STELLA MARIS (02833M);11;RADA O RIA, FRESQUERO;0,00;0,0;02833M
0;ASI SOY;11;RADA O RIA, FRESQUERO;6,00;40,0;1367-M
0;EL QUILMEÐO;11;RADA O RIA, FRESQUERO;6,00;40,0;0647-M
0;QUILMEÐO I;11;RADA O RIA, FRESQUERO;6,00;40,0;01961M
1252;CAMERIGE;31;ALTURA, FRESQUERO;27,90;652,3;5863
0;LA NUEVA FURTIVA;11;RADA O RIA, FRESQUERO;0,00;0,0;02958M
1792;LA AMISTAD;21;COSTEROS, FRESQUERO;0,00;0,0;1665-M
0;MARIA DEL CARMEN (01808M);11;RADA O RIA, FRESQUERO;0,00;0,0;1808M
1826;LA NUEVA ADRIANA;11;RADA O RIA, FRESQUERO;8,00;100,0;01298-M
1486;DOÐA MARIA (02760M);11;RADA O RIA, FRESQUERO;0,00;0,0;02760M
2292;REMIX IV;11;RADA O RIA, FRESQUERO;6,38;40,0;1209-M
2055;MISS PATAGONIA;32;ALTURA,PROC.CONGELADOR;28,20;667,1;5972
1260;CAPITAN GIACHINO;32;ALTURA,PROC.CONGELADOR;38,42;1061,7;5703
0;HUAFENG 818;31;ALTURA, FRESQUERO;24,88;425,5;5706
2766;HUAFENG 821;31;ALTURA, FRESQUERO;24,85;494,0;5771
1324;CIUDAD DE HUELVA;31;ALTURA, FRESQUERO;27,45;425,5;5861
2326;ROSARIO G;32;ALTURA,PROC.CONGELADOR;26,74;425,5;5871
1595;FELIX AUGUSTO;32;ALTURA,PROC.CONGELADOR;27,80;601,3;5846
0;LA MARTINA;11;RADA O RIA, FRESQUERO;0,00;0,0;02463M
2529;TABEIRON;32;ALTURA,PROC.CONGELADOR;34,15;888,6;02233
2705;EMPESUR V;32;ALTURA,PROC.CONGELADOR;30,52;1369,1;02650
2313;ROCIO DEL MAR;31;ALTURA, FRESQUERO;22,60;540,9;6089
2754;EMPESUR VII;32;ALTURA,PROC.CONGELADOR;35,03;1289,9;03045
2768;MAR CORAL;32;ALTURA,PROC.CONGELADOR;35,53;0,0;03118
1114;ARBUMASA X;32;ALTURA,PROC.CONGELADOR;35,30;1087,2;6183
1118;ARBUMASA XV;32;ALTURA,PROC.CONGELADOR;36,40;869,8;6239
1117;ARBUMASA XIX;32;ALTURA,PROC.CONGELADOR;36,40;869,8;6440
1140;ARGENOVA IV;32;ALTURA,PROC.CONGELADOR;36,26;675,2;02157
1141;ARGENOVA IX;32;ALTURA,PROC.CONGELADOR;32,50;550,3;02328
1146;ARGENOVA X;32;ALTURA,PROC.CONGELADOR;32,50;550,3;02329
1112;ARBUMASA I;32;ALTURA,PROC.CONGELADOR;35,30;1001,3;6094
1120;ARBUMASA XVII;32;ALTURA,PROC.CONGELADOR;36,40;869,8;6367
1551;ENTRENA UNO;32;ALTURA,PROC.CONGELADOR;33,10;838,9;02069
1221;BOUCIÐA;32;ALTURA,PROC.CONGELADOR;;;
2769;API X;32;ALTURA,PROC.CONGELADOR;36,39;1877,4;03191
2770;NINA;32;ALTURA,PROC.CONGELADOR;44,00;1620,0;03171
2773;ESPARDEL;31;ALTURA, FRESQUERO;28,70;1341,0;
1134;ARESIT;32;ALTURA,PROC.CONGELADOR;36,26;1085,0;
2774;ALVAREZ ENTRENA VI;32;ALTURA,PROC.CONGELADOR;30,50;1033,0;
2775;NIÐO JESUS DE PRAGA;31;ALTURA, FRESQUERO;27,74;1180,0;03194
2776;FEDERICO C;32;ALTURA,PROC.CONGELADOR;37,68;1400,0;
2778;API VIII;32;ALTURA,PROC.CONGELADOR;36,39;1877,4;
2782;API XII;32;ALTURA,PROC.CONGELADOR;43,40;1877,4;
2783;ALVAREZ ENTRENA III;32;ALTURA,PROC.CONGELADOR;31,90;700,7;
1755;JUAN ALVAREZ;32;ALTURA,PROC.CONGELADOR;36,60;1167,8;6192
